0,vm,2,3,0
1,cpu,5,2,2
2,cpu,4,1,3
3,cpu,3,2,6
4,cpu,5,3,8
5,cpu,3,3,8
6,cpu,2,1,8
7,vm,4,2,9
8,cpu,5,1,10
9,vm,5,1,14
10,cpu,2,3,16
11,vm,2,3,17
12,vm,2,1,17
13,vm,5,2,19
14,vm,2,1,20
15,vm,1,1,20
16,vm,5,1,20
17,vm,1,3,21
18,vm,3,2,21
19,vm,5,2,23
20,vm,5,1,26
21,vm,4,2,27
22,vm,3,1,28
23,vm,3,1,28
24,vm,2,1,29
25,vm,5,2,30
26,cpu,1,3,33
27,vm,5,1,36
28,cpu,1,3,36
29,cpu,1,1,37
30,vm,2,1,38
31,cpu,5,1,39
32,vm,4,1,39
33,cpu,3,2,40
34,vm,3,2,41
35,vm,3,2,42
36,cpu,4,3,43
37,cpu,3,2,45
38,cpu,1,1,46
39,cpu,3,3,46
40,cpu,3,1,46
41,vm,2,2,48
42,cpu,4,2,51
43,vm,1,2,52
44,cpu,3,2,54
45,cpu,3,1,55
46,cpu,1,1,55
47,cpu,3,1,56
48,vm,3,2,57
49,cpu,3,1,58
50,cpu,2,2,58
51,cpu,3,2,58
52,vm,2,3,59
53,vm,2,3,59
54,cpu,5,2,60
55,vm,5,1,61
56,cpu,2,1,61
57,cpu,5,3,62
58,vm,3,1,62
59,cpu,5,3,62
60,cpu,1,2,64
61,cpu,4,3,64
62,cpu,2,2,65
63,cpu,3,1,65
64,vm,4,1,66
65,vm,1,3,66
66,vm,1,1,67
67,vm,1,2,73
68,vm,1,3,75
69,cpu,1,3,76
70,cpu,3,3,78
71,vm,1,2,80
72,cpu,4,3,82
73,vm,2,3,82
74,vm,2,3,83
75,cpu,3,2,84
76,vm,5,1,90
77,cpu,3,3,90
78,vm,3,2,90
79,cpu,4,1,92
80,cpu,3,1,92
81,cpu,1,1,92
82,cpu,5,2,94
83,vm,1,2,96
84,cpu,4,3,96
85,cpu,1,3,99
86,vm,2,2,102
87,cpu,3,3,103
88,vm,4,3,105
89,cpu,1,2,105
90,cpu,2,2,106
91,vm,3,3,107
92,cpu,4,2,108
93,vm,5,3,108
94,cpu,5,3,111
95,vm,4,1,111
96,vm,1,1,112
97,vm,5,3,112
98,vm,1,1,112
99,vm,5,2,114
100,vm,5,2,115
101,cpu,3,2,115
102,cpu,1,3,115
103,cpu,5,2,115
104,cpu,3,2,116
105,vm,2,2,119
106,vm,4,2,122
107,vm,1,1,123
108,cpu,5,1,124
109,cpu,2,1,124
110,vm,3,1,125
111,vm,3,3,125
112,cpu,4,2,127
113,cpu,2,3,136
114,vm,2,1,138
115,vm,5,3,138
116,cpu,3,1,138
117,cpu,1,1,139
118,vm,3,3,140
119,vm,1,1,142
120,vm,5,1,143
121,vm,3,3,144
122,vm,1,2,147
123,cpu,4,2,149
124,cpu,5,3,149
125,cpu,3,2,150
126,vm,4,2,150
127,cpu,2,3,154
128,vm,2,2,154
129,cpu,2,2,154
130,cpu,4,1,155
131,vm,2,3,158
132,vm,1,2,162
133,cpu,1,1,163
134,vm,1,1,163
135,vm,2,3,164
136,vm,2,1,164
137,vm,3,3,165
138,vm,3,1,169
139,cpu,5,1,170
140,vm,1,3,170
141,cpu,5,1,173
142,vm,3,1,173
143,cpu,4,2,174
144,cpu,2,1,175
145,cpu,4,2,179
146,vm,5,3,180
147,cpu,5,1,181
148,cpu,4,1,181
149,cpu,5,3,181
150,cpu,5,3,184
151,vm,1,2,185
152,vm,4,1,187
153,cpu,4,2,190
154,cpu,4,3,191
155,vm,5,3,191
156,vm,2,3,193
157,vm,3,1,193
