0,cpu,3,2,0
1,vm,9,1,1
2,vm,10,3,5
3,vm,9,2,6
4,vm,7,2,6
5,cpu,9,2,8
6,vm,3,3,10
7,cpu,2,1,11
8,cpu,8,1,12
9,cpu,5,2,12
10,cpu,4,1,14
11,vm,3,1,16
12,vm,6,3,19
13,cpu,7,1,21
14,cpu,2,1,23
15,cpu,2,1,28
16,vm,10,2,28
17,vm,7,1,29
18,vm,6,3,30
19,vm,7,1,31
20,vm,3,3,32
21,cpu,2,2,32
22,cpu,6,3,33
23,vm,8,1,35
24,cpu,5,2,37
25,cpu,6,1,39
26,cpu,9,3,39
27,cpu,9,3,39
28,cpu,7,1,41
29,vm,3,2,43
30,cpu,10,2,45
31,vm,10,1,45
32,cpu,10,2,46
33,vm,4,1,48
34,cpu,2,1,51
35,cpu,3,2,52
36,cpu,5,2,54
37,cpu,4,1,55
38,cpu,7,1,59
39,vm,3,3,60
40,vm,7,1,61
41,vm,7,1,61
42,cpu,9,3,64
43,cpu,9,2,65
44,vm,8,2,67
45,cpu,10,1,70
46,vm,10,1,71
47,vm,1,3,74
48,cpu,6,3,76
49,vm,9,1,77
50,cpu,1,2,79
51,vm,10,1,80
52,vm,2,1,81
53,cpu,10,3,82
54,vm,8,2,82
55,cpu,4,1,83
56,vm,1,1,83
57,vm,1,3,84
58,cpu,2,3,84
59,vm,10,1,84
60,cpu,1,1,85
61,vm,5,1,86
62,vm,5,1,87
63,vm,7,2,88
64,vm,7,2,88
65,cpu,2,2,90
66,cpu,7,1,93
67,vm,2,2,93
68,cpu,2,2,94
69,cpu,8,3,96
70,cpu,2,3,97
71,cpu,5,2,97
72,cpu,7,2,97
73,vm,9,2,98
74,cpu,9,3,100
75,cpu,8,1,100
76,vm,3,1,101
77,cpu,3,3,105
78,vm,1,2,107
79,cpu,6,2,107
80,vm,8,1,109
81,vm,8,3,110
82,vm,2,2,112
83,vm,9,2,113
84,vm,1,3,118
85,cpu,5,3,118
86,cpu,4,3,119
87,cpu,10,1,120
88,vm,1,2,120
89,vm,1,1,121
90,cpu,2,3,121
91,cpu,9,3,122
92,cpu,5,3,128
93,vm,9,2,128
94,cpu,2,2,129
95,vm,10,3,130
96,cpu,3,1,132
97,vm,3,1,132
98,vm,10,2,134
99,cpu,3,1,134
100,cpu,5,2,134
101,vm,8,2,134
102,cpu,1,2,136
103,vm,9,1,136
104,cpu,3,1,137
105,vm,5,2,138
106,cpu,10,2,139
107,vm,8,1,139
108,cpu,5,3,139
109,cpu,6,1,140
110,vm,9,1,140
111,vm,8,2,140
112,vm,4,1,141
113,cpu,7,2,144
114,vm,3,3,145
115,vm,9,1,146
116,vm,2,3,146
117,vm,4,2,146
118,cpu,3,2,146
119,cpu,5,2,147
120,vm,3,3,149
121,cpu,1,3,151
122,cpu,3,3,151
