0,cpu,3,1,0
1,cpu,3,3,0
2,vm,1,2,1
3,vm,6,1,1
4,cpu,9,3,1
5,vm,6,3,2
6,vm,8,1,2
7,cpu,6,3,2
8,cpu,5,1,2
9,vm,5,1,4
10,cpu,5,3,4
11,cpu,1,1,5
12,vm,7,3,5
13,cpu,1,1,5
14,cpu,4,2,5
15,cpu,3,2,5
16,cpu,5,2,6
17,cpu,2,2,6
18,vm,8,3,6
19,cpu,8,3,6
20,vm,8,3,7
21,vm,10,3,7
22,cpu,9,1,7
23,cpu,3,2,8
24,vm,8,3,8
25,vm,4,2,9
26,cpu,6,3,9
27,vm,5,1,10
28,cpu,10,1,10
29,vm,3,2,11
30,cpu,9,2,11
31,vm,9,3,11
32,cpu,3,3,13
33,cpu,9,3,13
34,cpu,9,1,15
35,vm,3,1,16
36,vm,8,3,16
37,vm,7,3,16
38,cpu,8,3,18
39,cpu,3,3,19
40,vm,2,2,20
41,cpu,8,2,21
42,cpu,2,2,21
43,vm,4,3,21
44,cpu,2,2,21
45,vm,3,3,22
46,vm,10,3,22
47,cpu,7,1,23
48,vm,2,1,24
49,vm,9,3,24
50,cpu,8,3,25
51,cpu,5,1,27
52,vm,1,3,28
53,cpu,4,1,28
54,vm,6,2,29
55,cpu,10,2,29
56,cpu,8,1,30
57,cpu,10,3,30
58,cpu,7,2,31
59,vm,6,1,31
60,cpu,10,2,34
61,cpu,6,3,34
62,cpu,4,1,34
63,cpu,8,1,35
64,vm,6,2,35
65,cpu,9,1,36
66,vm,7,2,36
67,vm,7,1,37
68,cpu,9,3,38
69,vm,10,1,39
70,cpu,5,1,40
71,vm,3,2,41
72,vm,4,2,41
73,cpu,6,1,41
74,vm,8,3,41
75,vm,5,2,42
76,vm,2,1,42
77,vm,10,2,42
78,cpu,9,2,43
79,cpu,5,2,43
80,cpu,2,3,43
81,cpu,10,2,43
82,vm,1,1,44
83,cpu,1,3,44
84,vm,6,1,44
85,vm,10,3,46
86,vm,4,2,47
87,vm,7,2,47
88,cpu,5,3,47
89,vm,8,1,48
90,cpu,8,3,49
